Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
Chalta Purza,1977.0,150.0,Action,6.0,39.0,Bhappi Sonie,Rajesh Khanna,Parveen Babi,Rakesh Roshan,5.543406229290921,6.533333333333334,6.6,6.4,6.573333333333333
Chalte Chalte,2003.0,167.0,Drama,6.6,14779.0,Aziz Mirza,Shah Rukh Khan,Rani Mukerji,Jas Arora,6.271282051282052,6.32,6.651428571428572,5.989473684210526,6.6
Chalti Ka Naam Gaadi,1958.0,173.0,Comedy,8.0,1514.0,Satyen Bose,Ashok Kumar,Madhubala,Anoop Kumar,5.838155136268345,6.7823529411764705,6.5458823529411765,7.346153846153846,7.25
Chaman Bahaar,2020.0,111.0,Comedy,7.0,5866.0,Apurva Dhar Badgaiyann,Jitendra Kumar,Ritika Badiani,Bhuvan Arora,5.838155136268345,7.0,7.0,7.0,7.0
Chamatkar,1992.0,171.0,Comedy,6.6,5846.0,Rajiv Mehra,Naseeruddin Shah,Shah Rukh Khan,Urmila Matondkar,5.838155136268345,6.0,6.185365853658537,6.338461538461539,6.2
Chameli,2003.0,108.0,Drama,7.0,2108.0,Sudhir Mishra,Kareena Kapoor,Rahul Bose,Rinke Khanna,6.271282051282052,6.709090909090909,5.075,5.975,6.033333333333334
Chameli Ki Shaadi,1986.0,136.0,Comedy,7.5,1580.0,Basu Chatterjee,Anil Kapoor,Amrita Singh,Om Prakash,5.838155136268345,6.7318181818181815,5.593478260869565,5.542857142857143,6.377777777777777
Chamku,2008.0,105.0,Action,4.0,529.0,Kabeer Kaushik,Bobby Deol,Priyanka Chopra Jonas,Irrfan Khan,5.543406229290921,5.275,4.885714285714286,5.213333333333334,6.3875
Champion,2000.0,140.0,Action,4.3,519.0,Padam Kumar,Jana Sue Memel,Sunny Deol,Prasant Samadhar,5.543406229290921,4.3,4.3,5.378571428571428,4.3
Chanakya,2019.0,147.0,Action,5.5,521.0,Thiru,Mehreen Pirzada,Nassar,Zareen Khan,5.543406229290921,5.5,5.5,7.175,5.0
Chance Pe Dance,2010.0,122.0,Comedy,4.7,2805.0,Ken Ghosh,Shahid Kapoor,Genelia D'Souza,Mohnish Bahl,5.838155136268345,5.3999999999999995,5.821052631578947,6.18,5.3
Chand,1959.0,149.0,Drama,6.8,13.0,Lekhraj Bhakri,Balraj Sahni,Manoj Kumar,Meena Kumari,6.271282051282052,6.863636363636363,7.091666666666666,7.06923076923077,6.833333333333333
Chand Aur Suraj,1965.0,154.0,Crime,6.4,24.0,Dulal Guha,Ashok Kumar,Dharmendra,Nirupa Roy,6.17,6.6,6.5458823529411765,6.275,6.52
Chand Bujh Gaya,2005.0,116.0,Drama,6.8,52.0,Sharique Minhaj,Mukesh Ahuja,Ishrat Ali,Aliza,6.271282051282052,6.8,6.8,4.6,6.8
Chand Ke Paar Chalo,2006.0,169.0,Romance,6.7,35.0,Mustafa Engineer,Somesh Agarwal,Shahib Chopra,Kannu Gill,5.624503311258278,6.7,6.675,6.7,6.2
Chand Par Chadayee,1967.0,150.0,Adventure,5.0,20.0,T.R. Sundaram,Dara Singh,Anwar Hussain,Master Bhagwan,6.188,5.0,6.25,6.133333333333333,5.733333333333333
Chand Sa Roshan Chehra,2005.0,120.0,Romance,4.7,54.0,Shahab Shamsi,Samir Aftab,Talat Aziz,Tamannaah Bhatia,5.624503311258278,4.7,5.050000000000001,6.800000000000001,5.733333333333333
